Title,Rating,Year,Runtime
Aloko Udapadi,9.6,2017,113
Dag II,9.3,2016,135
Aynabaji,9.3,2016,147
Wheels,9.3,2014,115
The Dark Knight,9.0,2008,152
Ayla: The Daughter of War,8.8,2017,125
Vikram Vedha,8.8,2017,147
Aruvi,8.8,2016,130
Drishyam,8.8,2013,160
The Phantom of the Opera at the Royal Albert Hall,8.8,2011,137
Inception,8.8,2010,148
Interstellar,8.6,2014,169
Arjun Reddy,8.5,2017,182
Dhuruvangal Pathinaaru,8.5,2016,105
Dangal,8.5,2016,161
Thani Oruvan,8.5,2015,160
RangiTaranga,8.5,2015,149
Whiplash,8.5,2014,106
The Intouchables,8.5,2011,112
Kiborgy. Heroyi ne vmyrayut,8.4,2017,112
Sairat,8.4,2016,174
Kimi no na wa.,8.4,2016,106
Jigarthanda,8.4,2014,171
Ulidavaru Kandanthe,8.4,2014,154
Soodhu Kavvum,8.4,2013,135
Coco,8.4,2017,105
Lucia,8.4,2013,135
Vishwaroopam,8.4,2013,148
Django Unchained,8.4,2012,165
The Dark Knight Rises,8.4,2012,164
3 Idiots,8.4,2009,170
WALL·E,8.4,2008,98
Theeran Adhigaaram Ondru,8.3,2017,157
Abad va yek rooz,8.3,2016,95
Baahubali 2: The Conclusion,8.3,2017,167
Premam,8.3,2015,156
Drishyam,8.3,2015,163
Chaar Sahibzaade,8.3,2014,135
Bangalore Days,8.3,2014,171
It's Such a Beautiful Day,8.3,2012,62
1 - Nenokkadine,8.3,2014,170
Ustad Hotel,8.3,2012,151
Shahid,8.3,2012,129
Jagten,8.3,2012,115
Bol,8.3,2011,165
Jodaeiye Nader az Simin,8.3,2011,123
"Montevideo, vidimo se!",8.3,2014,141
"Montevideo, Bog te video!",8.3,2010,140
Up,8.3,2009,96
Toy Story 3,8.3,2010,103
